a,b,rho,xu,zu,N_front,k_spring,dz_max,dx_max,Cq_min,MR_min,MR_max,stroke_needed,F_shock_max,h_cap_rigid,h_cap_soft,feasible,failed
90.0,90.0,0.5,0.0,20.0,34.3,108.78,78.9,-36.8,0.834,0.126,0.146,10.7,1164.6,32.5,45.0,False,Cq 0.83;MR range;F_shock 1165
90.0,90.0,0.5,0.0,40.0,34.3,40.25,78.9,-36.8,0.834,0.208,0.256,18.1,729.1,32.5,45.0,False,Cq 0.83
90.0,90.0,0.5,0.0,60.0,34.3,25.24,78.9,-36.8,0.834,0.263,0.329,23.0,581.6,32.5,45.0,False,Cq 0.83
90.0,90.0,0.7,-40.0,20.0,34.3,7.32,78.9,-36.8,0.834,0.293,0.488,30.0,219.7,32.5,45.0,False,Cq 0.83
90.0,90.0,0.7,-40.0,40.0,34.3,6.18,78.9,-36.8,0.834,0.446,0.531,37.3,230.5,32.5,45.0,False,Cq 0.83
90.0,90.0,0.7,-40.0,60.0,34.3,5.56,78.9,-36.8,0.834,0.519,0.559,41.6,231.7,32.5,45.0,False,Cq 0.83;stroke 42
90.0,90.0,0.7,-20.0,20.0,34.3,19.4,78.9,-36.8,0.834,0.205,0.3,19.3,374.9,32.5,45.0,False,Cq 0.83
90.0,90.0,0.7,-20.0,40.0,34.3,12.29,78.9,-36.8,0.834,0.348,0.376,27.9,342.9,32.5,45.0,False,Cq 0.83
90.0,90.0,0.7,-20.0,60.0,34.3,9.42,78.9,-36.8,0.834,0.42,0.448,33.8,318.1,32.5,45.0,False,Cq 0.83
90.0,90.0,0.7,0.0,20.0,34.3,96.42,78.9,-36.8,0.834,0.134,0.151,11.2,1080.3,32.5,45.0,False,Cq 0.83;MR range;F_shock 1080
90.0,90.0,0.7,0.0,40.0,34.3,32.36,78.9,-36.8,0.834,0.232,0.278,19.9,645.5,32.5,45.0,False,Cq 0.83
90.0,90.0,0.7,0.0,60.0,34.3,18.84,78.9,-36.8,0.834,0.304,0.376,26.5,499.9,32.5,45.0,False,Cq 0.83
90.0,90.0,0.9,-40.0,20.0,34.3,7.09,78.9,-36.8,0.834,0.265,0.495,29.1,206.1,32.5,45.0,False,Cq 0.83
90.0,90.0,0.9,-40.0,40.0,34.3,5.48,78.9,-36.8,0.834,0.438,0.564,38.4,210.2,32.5,45.0,False,Cq 0.83
90.0,90.0,0.9,-40.0,60.0,34.3,4.63,78.9,-36.8,0.834,0.558,0.613,44.9,208.1,32.5,45.0,False,Cq 0.83;stroke 45
90.0,90.0,0.9,-20.0,20.0,34.3,18.7,78.9,-36.8,0.834,0.198,0.305,19.2,359.3,32.5,45.0,False,Cq 0.83
90.0,90.0,0.9,-20.0,40.0,34.3,10.96,78.9,-36.8,0.834,0.353,0.399,28.9,317.2,32.5,45.0,False,Cq 0.83
90.0,90.0,0.9,-20.0,60.0,34.3,7.92,78.9,-36.8,0.834,0.455,0.474,36.3,288.0,32.5,45.0,False,Cq 0.83
90.0,90.0,0.9,0.0,20.0,34.3,90.05,78.9,-36.8,0.834,0.139,0.153,11.5,1033.7,32.5,45.0,False,Cq 0.83;MR range;F_shock 1034
90.0,90.0,0.9,0.0,40.0,34.3,28.47,78.9,-36.8,0.834,0.247,0.289,21.0,598.7,32.5,45.0,False,Cq 0.83
